,Emb_ID,Cntl,Expt,Ratio
1,20230918_Sox10MO_Emb3,492271.3399,449972.0251,0.997340558
2,20230918_Sox10MO_Emb5,1345761.826,549607.7123,0.491764983
3,20230918_Sox10MO_Emb6,1489551.189,952367.3241,0.675216197
4,20230919_Sox10MO_Emb6,1087725.732,1117197.615,1.155885374
5,20230919_Sox10MO_Emb7,1565705.48,913862.272,0.644556221
6,20231005_Sox10MO_Emb1,773251.8236,637845.4932,0.818208087
7,20231005_Sox10MO_Emb4,1046868.134,670514.4092,0.69666864
8,20231005_Sox10MO_Emb6,1459755.864,872585.5815,0.576272858
