"","Channel","Emb_ID","Somites","Cntl","Expt","Ratio"
"1","RFP","20210802_Sox10gRNA_Emb1","8ss",0.834905258938167,0.360008232903207,0.431196508884213
"2","RFP","20210802_Sox10gRNA_Emb2","10ss",1.0433678385083,0.608637560948332,0.583339392383896
"3","RFP","20210802_Sox10gRNA_Emb4","8ss",0.816509209150793,0.459408955332211,0.562650059770934
"4","RFP","20210802_Sox10gRNA_Emb5","10ss",1.6306468185952,0.863418022491197,0.529494193742721
"5","RFP","20210802_Sox10gRNA_Emb6","8ss",1.19107155214672,0.562285820858518,0.472083998518046
"6","RFP","20210909_Sox10gRNA_Emb1","9ss",0.777657544960244,0.431466283841574,0.554828133074478
"7","RFP","20210909_Sox10gRNA_Emb2","9ss",1.29421417097969,0.418041795746855,0.323008204608368
"8","RFP","20210909_Sox10gRNA_Emb3","8ss",0.729875399271172,0.501260567475683,0.686775534531269
"9","RFP","20210909_Sox10gRNA_Emb4","8ss",1.20099501304899,0.440291008993586,0.36660519336863
"10","RFP","20210909_Sox10gRNA_Emb5","8ss",0.439075147267856,0.274181139613246,0.624451512046029
"11","RFP","20211015_Sox10gRNA_Emb3","9ss",0.886120276253739,0.77734732136347,0.877248091703612
"12","RFP","20211015_Sox10gRNA_Emb4","8ss",1.15556177087914,1.00801536952249,0.872316300975937
