 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,106.927,31.273,3343.960,19796.000
2,smpd3_intron:CntlArea,3263.385,347.077,1132645.035,6705176.000
3,smpd3_intron:ExptArea,2108.303,275.511,580861.210,3438656.000
4,tfap2b:Background,106.927,100.226,10716.855,63443.000
5,tfap2b:CntlArea,3263.385,581.034,1896137.887,11224998.000
6,tfap2b:ExptArea,2108.303,623.981,1315540.869,7787906.000
7,gfp:Background,106.927,9.839,1052.040,6228.000
8,gfp:CntlArea,3263.385,232.402,758416.438,4489770.000
9,gfp:ExptArea,2108.303,500.636,1055492.902,6248441.000
