 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,277.030,20.648,5720.003,33862.000
2,smpd3_intron:CntlArea,2914.732,215.096,626947.251,3711482.000
3,smpd3_intron:ExptArea,2915.239,191.257,557558.389,3300705.000
4,tfap2b:Background,277.030,313.929,86967.794,514843.000
5,tfap2b:CntlArea,2914.732,2801.626,8165987.428,48342050.000
6,tfap2b:ExptArea,2915.239,2400.346,6997582.324,41425177.000
7,gfp:Background,277.030,9.456,2619.627,15508.000
8,gfp:CntlArea,2914.732,191.475,558098.092,3303900.000
9,gfp:ExptArea,2915.239,224.777,655277.161,3879193.000
