 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,28.041,28.506,799.334,4732
2,smpd3_intron:CntlArea,2394.455,467.258,1118827.804,6623379
3,smpd3_intron:ExptArea,1639.209,272.292,446342.830,2642317
4,tfap2b:Background,28.041,54.434,1526.370,9036
5,tfap2b:CntlArea,2394.455,743.036,1779167.020,10532539
6,tfap2b:ExptArea,1639.209,602.209,987146.621,5843836
7,gfp:Background,28.041,9.922,278.213,1647
8,gfp:CntlArea,2394.455,231.131,553433.001,3276283
9,gfp:ExptArea,1639.209,253.238,415109.506,2457418
