 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,64.697,47.295,3059.835,18114
2,smpd3_intron:CntlArea,6944.511,208.061,1444883.003,8553602
3,smpd3_intron:ExptArea,2562.194,226.697,580841.109,3438537
4,tfap2b:Background,64.697,20.457,1323.496,7835
5,tfap2b:CntlArea,6944.511,231.799,1609731.825,9529495
6,tfap2b:ExptArea,2562.194,166.757,427264.048,2529372
7,gfp:Background,64.697,10.418,673.995,3990
8,gfp:CntlArea,6944.511,168.524,1170318.979,6928203
9,gfp:ExptArea,2562.194,243.647,624270.698,3695637
