 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,28.885,32.023,925.011,5476.000
2,smpd3_intron:CntlArea,698.826,366.357,256019.877,1515619.000
3,smpd3_intron:ExptArea,1834.820,250.698,459986.241,2723085.000
4,tfap2b:Background,28.885,55.269,1596.472,9451.000
5,tfap2b:CntlArea,698.826,615.333,430010.534,2545631.000
6,tfap2b:ExptArea,1834.820,513.566,942301.981,5578359.000
7,gfp:Background,28.885,10.275,296.794,1757.000
8,gfp:CntlArea,698.826,546.299,381768.386,2260041.000
9,gfp:ExptArea,1834.820,515.657,946138.008,5601068.000
