 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,142.738,24.470,3492.780,20677.000
2,smpd3_intron:CntlArea,2515.065,302.485,760770.352,4503705.000
3,smpd3_intron:ExptArea,3789.405,150.185,569111.234,3369097.000
4,tfap2b:Background,142.738,82.638,11795.585,69829.000
5,tfap2b:CntlArea,2515.065,915.778,2303240.707,13635017.000
6,tfap2b:ExptArea,3789.405,600.472,2275431.074,13470386.000
7,gfp:Background,142.738,9.988,1425.693,8440.000
8,gfp:CntlArea,2515.065,293.651,738550.315,4372164.000
9,gfp:ExptArea,3789.405,357.993,1356579.213,8030850.000
