 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,97.298,26.658,2593.782,15355.000
2,smpd3_intron:CntlArea,2091.411,292.773,612308.050,3624819.000
3,smpd3_intron:ExptArea,2145.128,217.517,466602.370,2762252.000
4,tfap2b:Background,97.298,56.005,5449.223,32259.000
5,tfap2b:CntlArea,2091.411,836.879,1750257.374,10361396.000
6,tfap2b:ExptArea,2145.128,599.881,1286820.921,7617886.000
7,gfp:Background,97.298,9.880,961.329,5691.000
8,gfp:CntlArea,2091.411,325.681,681133.560,4032261.000
9,gfp:ExptArea,2145.128,303.101,650190.781,3849082.000
