 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,58.953,20.112,1185.656,7019.000
2,smpd3_intron:CntlArea,4044.644,149.378,604179.741,3576700.000
3,smpd3_intron:ExptArea,3182.303,174.335,554787.071,3284299.000
4,tfap2b:Background,58.953,186.198,10976.993,64983.000
5,tfap2b:CntlArea,4044.644,1403.612,5677110.988,33608083.000
6,tfap2b:ExptArea,3182.303,1695.683,5396176.784,31944973.000
7,gfp:Background,58.953,9.633,567.912,3362.000
8,gfp:CntlArea,4044.644,156.928,634719.306,3757492.000
9,gfp:ExptArea,3182.303,209.494,666672.909,3946655.000
