 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,90.542,29.442,2665.742,15781
2,smpd3_intron:CntlArea,4913.574,224.181,1101531.476,6520986
3,smpd3_intron:ExptArea,2979.935,272.500,812032.301,4807172
4,tfap2b:Background,90.542,30.672,2777.061,16440
5,tfap2b:CntlArea,4913.574,315.139,1548460.969,9166776
6,tfap2b:ExptArea,2979.935,334.241,996015.818,5896341
7,gfp:Background,90.542,9.843,891.227,5276
8,gfp:CntlArea,4913.574,68.694,337535.408,1998185
9,gfp:ExptArea,2979.935,124.701,371601.031,2199851
