 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,60.136,20.826,1252.380,7414
2,smpd3_intron:CntlArea,1824.854,279.549,510136.015,3019968
3,smpd3_intron:ExptArea,2630.438,117.841,309973.413,1835020
4,tfap2b:Background,60.136,79.537,4782.998,28315
5,tfap2b:CntlArea,1824.854,1354.005,2470860.170,14627312
6,tfap2b:ExptArea,2630.438,851.517,2239862.392,13259822
7,gfp:Background,60.136,9.722,584.636,3461
8,gfp:CntlArea,1824.854,100.058,182591.777,1080930
9,gfp:ExptArea,2630.438,107.721,283352.477,1677426
