 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,94.934,31.422,2982.976,17659.000
2,smpd3_intron:CntlArea,3933.325,279.381,1098895.971,6505384.000
3,smpd3_intron:ExptArea,2439.557,338.214,825091.753,4884483.000
4,tfap2b:Background,94.934,187.064,17758.665,105130.000
5,tfap2b:CntlArea,3933.325,1116.297,4390761.188,25992986.000
6,tfap2b:ExptArea,2439.557,1232.354,3006397.342,17797653.000
7,gfp:Background,94.934,10.165,965.046,5713.000
8,gfp:CntlArea,3933.325,294.574,1158654.984,6859153.000
9,gfp:ExptArea,2439.557,583.122,1422558.235,8421441.000
