 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,83.785,30.131,2524.524,14945.000
2,smpd3_intron:CntlArea,5250.909,199.527,1047698.043,6202296.000
3,smpd3_intron:ExptArea,4350.560,250.975,1091880.175,6463851.000
4,tfap2b:Background,83.785,55.387,4640.598,27472.000
5,tfap2b:CntlArea,5250.909,425.896,2236341.403,13238978.000
6,tfap2b:ExptArea,4350.560,555.054,2414796.642,14295420.000
7,gfp:Background,83.785,9.367,784.807,4646.000
8,gfp:CntlArea,5250.909,115.818,608149.384,3600200.000
9,gfp:ExptArea,4350.560,247.765,1077916.658,6381188.000
