 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,103.886,20.767,2157.459,12772.000
2,smpd3_intron:CntlArea,3692.951,169.242,625001.788,3699965.000
3,smpd3_intron:ExptArea,2870.812,174.748,501670.032,2969850.000
4,tfap2b:Background,103.886,101.590,10553.846,62478.000
5,tfap2b:CntlArea,3692.951,1408.486,5201468.135,30792312.000
6,tfap2b:ExptArea,2870.812,1258.484,3612872.382,21387941.000
7,gfp:Background,103.886,9.618,999.168,5915.000
8,gfp:CntlArea,3692.951,269.511,995291.823,5892055.000
9,gfp:ExptArea,2870.812,137.243,394000.124,2332452.000
