 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,82.771,25.967,2149.351,12724.000
2,smpd3_intron:CntlArea,4034.509,403.857,1629366.188,9645729.000
3,smpd3_intron:ExptArea,3465.245,332.611,1152579.064,6823184.000
4,tfap2b:Background,82.771,133.476,11047.940,65403.000
5,tfap2b:CntlArea,4034.509,1031.560,4161838.098,24637778.000
6,tfap2b:ExptArea,3465.245,1180.101,4089340.921,24208600.000
7,gfp:Background,82.771,10.831,896.464,5307.000
8,gfp:CntlArea,4034.509,334.894,1351132.693,7998607.000
9,gfp:ExptArea,3465.245,539.114,1868163.556,11059392.000
