 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,226.692,20.815,4718.639,27934.000
2,smpd3_intron:CntlArea,3199.871,110.622,353974.631,2095504.000
3,smpd3_intron:ExptArea,4499.380,137.386,618153.055,3659421.000
4,tfap2b:Background,226.692,138.659,31432.820,186080.000
5,tfap2b:CntlArea,3199.871,1007.628,3224278.574,19087494.000
6,tfap2b:ExptArea,4499.380,1058.465,4762436.713,28193278.000
7,gfp:Background,226.692,9.476,2148.168,12717.000
8,gfp:CntlArea,3199.871,241.670,773311.385,4577947.000
9,gfp:ExptArea,4499.380,191.845,863183.945,5109986.000
