 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,123.481,32.628,4028.935,23851.000
2,smpd3_intron:CntlArea,5688.584,284.967,1621059.498,9596554.000
3,smpd3_intron:ExptArea,5583.008,264.042,1474150.763,8726865.000
4,tfap2b:Background,123.481,16.989,2097.830,12419.000
5,tfap2b:CntlArea,5688.584,130.301,741225.855,4388003.000
6,tfap2b:ExptArea,5583.008,104.701,584546.729,3460474.000
7,gfp:Background,123.481,10.011,1236.164,7318.000
8,gfp:CntlArea,5688.584,99.363,565237.031,3346162.000
9,gfp:ExptArea,5583.008,147.952,826017.947,4889966.000
