 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,87.501,26.653,2332.123,13806.000
2,smpd3_intron:CntlArea,2295.636,325.286,746738.085,4420635.000
3,smpd3_intron:ExptArea,1611.844,267.437,431066.966,2551885.000
4,tfap2b:Background,87.501,147.098,12871.273,76197.000
5,tfap2b:CntlArea,2295.636,2048.527,4702672.970,27839481.000
6,tfap2b:ExptArea,1611.844,1542.730,2486640.432,14720730.000
7,gfp:Background,87.501,9.896,865.889,5126.000
8,gfp:CntlArea,2295.636,339.390,779116.355,4612312.000
9,gfp:ExptArea,1611.844,449.018,723746.923,4284529.000
