 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,39.696,29.277,1162.176,6880
2,smpd3_intron:CntlArea,2690.743,572.647,1540845.165,9121691
3,smpd3_intron:ExptArea,2275.535,223.408,508372.986,3009531
4,tfap2b:Background,39.696,80.515,3196.154,18921
5,tfap2b:CntlArea,2690.743,1311.965,3530161.228,20898297
6,tfap2b:ExptArea,2275.535,922.034,2098119.430,12420714
7,gfp:Background,39.696,10.609,421.120,2493
8,gfp:CntlArea,2690.743,150.180,404096.870,2392224
9,gfp:ExptArea,2275.535,237.858,541254.641,3204188
