 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,89.866,29.256,2629.086,15564.000
2,smpd3_intron:CntlArea,6664.609,188.937,1259190.513,7454316.000
3,smpd3_intron:ExptArea,9313.121,158.899,1479846.948,8760586.000
4,tfap2b:Background,89.866,90.404,8124.255,48095.000
5,tfap2b:CntlArea,6664.609,501.905,3345002.021,19802168.000
6,tfap2b:ExptArea,9313.121,477.784,4449657.015,26341645.000
7,gfp:Background,89.866,9.836,883.964,5233.000
8,gfp:CntlArea,6664.609,176.431,1175840.331,6960889.000
9,gfp:ExptArea,9313.121,167.890,1563577.371,9256264.000
