 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,132.265,20.322,2687.871,15912.000
2,smpd3_intron:CntlArea,5475.743,155.076,849157.083,5026948.000
3,smpd3_intron:ExptArea,5553.954,131.516,730431.634,4324102.000
4,tfap2b:Background,132.265,113.439,15004.070,88823.000
5,tfap2b:CntlArea,5475.743,1346.216,7371531.526,43638929.000
6,tfap2b:ExptArea,5553.954,1144.796,6358144.210,37639750.000
7,gfp:Background,132.265,9.308,1231.096,7288.000
8,gfp:CntlArea,5475.743,169.738,929443.038,5502235.000
9,gfp:ExptArea,5553.954,149.637,831077.975,4919921.000
