 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,65.541,20.216,1325.016,7844.000
2,smpd3_intron:CntlArea,5677.773,152.033,863210.804,5110145.000
3,smpd3_intron:ExptArea,5062.225,150.635,762549.259,4514236.000
4,tfap2b:Background,65.541,147.686,9679.511,57302.000
5,tfap2b:CntlArea,5677.773,1172.221,6655605.645,39400700.000
6,tfap2b:ExptArea,5062.225,1313.698,6650234.633,39368904.000
7,gfp:Background,65.541,9.716,636.832,3770.000
8,gfp:CntlArea,5677.773,188.643,1071070.459,6340659.000
9,gfp:ExptArea,5062.225,208.900,1057501.035,6260329.000
