 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,133.448,47.487,6337.071,37515
2,smpd3_intron:CntlArea,6084.872,420.760,2560272.589,15156627
3,smpd3_intron:ExptArea,4418.804,421.308,1861676.990,11020992
4,tfap2b:Background,133.448,24.075,3212.708,19019
5,tfap2b:CntlArea,6084.872,676.907,4118894.494,24383555
6,tfap2b:ExptArea,4418.804,416.050,1838444.778,10883459
7,gfp:Background,133.448,10.737,1432.788,8482
8,gfp:CntlArea,6084.872,208.091,1266206.140,7495848
9,gfp:ExptArea,4418.804,237.175,1048029.635,6204259
