 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,96.961,27.153,2632.803,15586.000
2,smpd3_intron:CntlArea,7866.989,199.624,1570439.787,9296889.000
3,smpd3_intron:ExptArea,4237.383,221.121,936974.381,5546820.000
4,tfap2b:Background,96.961,105.263,10206.376,60421.000
5,tfap2b:CntlArea,7866.989,1186.391,9333321.404,55252582.000
6,tfap2b:ExptArea,4237.383,1075.124,4555710.686,26969475.000
7,gfp:Background,96.961,9.955,965.215,5714.000
8,gfp:CntlArea,7866.989,158.374,1245924.809,7375784.000
9,gfp:ExptArea,4237.383,219.962,932062.327,5517741.000
