 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,72.467,30.818,2233.305,13221.000
2,smpd3_intron:CntlArea,1891.240,464.196,877905.241,5197135.000
3,smpd3_intron:ExptArea,1051.533,519.867,546657.579,3236173.000
4,tfap2b:Background,72.467,38.851,2815.406,16667.000
5,tfap2b:CntlArea,1891.240,660.826,1249781.107,7398613.000
6,tfap2b:ExptArea,1051.533,630.805,663312.733,3926763.000
7,gfp:Background,72.467,9.967,722.306,4276.000
8,gfp:CntlArea,1891.240,259.391,490570.909,2904144.000
9,gfp:ExptArea,1051.533,437.843,460406.855,2725575.000
