 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,97.636,31.585,3083.822,18256.000
2,smpd3_intron:CntlArea,7075.425,195.543,1383548.802,8190508.000
3,smpd3_intron:ExptArea,7427.625,137.036,1017852.742,6025614.000
4,tfap2b:Background,97.636,87.199,8513.787,50401.000
5,tfap2b:CntlArea,7075.425,863.575,6110158.891,36171695.000
6,tfap2b:ExptArea,7427.625,629.748,4677530.937,27690642.000
7,gfp:Background,97.636,10.237,999.506,5917.000
8,gfp:CntlArea,7075.425,275.938,1952378.952,11557941.000
9,gfp:ExptArea,7427.625,126.030,936102.073,5541656.000
