 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,51.690,29.412,1520.289,9000.000
2,smpd3_intron:CntlArea,1638.027,237.322,388740.600,2301316.000
3,smpd3_intron:ExptArea,1683.973,170.470,287066.206,1699411.000
4,tfap2b:Background,51.690,60.203,3111.863,18422.000
5,tfap2b:CntlArea,1638.027,549.022,899313.106,5323868.000
6,tfap2b:ExptArea,1683.973,602.055,1013845.430,6001891.000
7,gfp:Background,51.690,9.621,497.303,2944.000
8,gfp:CntlArea,1638.027,315.479,516762.954,3059199.000
9,gfp:ExptArea,1683.973,284.213,478606.910,2833318.000
