 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,12.162,21.903,266.388,1577
2,smpd3_intron:CntlArea,844.943,148.331,125330.936,741950
3,smpd3_intron:ExptArea,1324.341,115.934,153536.689,908926
4,tfap2b:Background,12.162,203.389,2473.679,14644
5,tfap2b:CntlArea,844.943,1380.041,1166055.413,6902963
6,tfap2b:ExptArea,1324.341,1096.502,1452141.539,8596572
7,gfp:Background,12.162,9.083,110.474,654
8,gfp:CntlArea,844.943,75.468,63766.157,377491
9,gfp:ExptArea,1324.341,272.952,361480.805,2139940
