 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,79.393,46.579,3698.019,21892.000
2,smpd3_intron:CntlArea,2347.157,274.383,644019.759,3812550.000
3,smpd3_intron:ExptArea,1515.052,273.649,414592.101,2454355.000
4,tfap2b:Background,79.393,28.496,2262.359,13393.000
5,tfap2b:CntlArea,2347.157,319.901,750857.054,4445019.000
6,tfap2b:ExptArea,1515.052,251.020,380308.570,2251399.000
7,gfp:Background,79.393,9.823,779.908,4617.000
8,gfp:CntlArea,2347.157,161.085,378091.651,2238275.000
9,gfp:ExptArea,1515.052,285.418,432422.726,2559911.000
