 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,158.955,27.610,4388.737,25981.000
2,smpd3_intron:CntlArea,5610.711,159.464,894706.631,5296598.000
3,smpd3_intron:ExptArea,3085.004,241.855,746124.733,4417004.000
4,tfap2b:Background,158.955,258.125,41030.235,242896.000
5,tfap2b:CntlArea,5610.711,1934.070,10851507.844,64240135.000
6,tfap2b:ExptArea,3085.004,2327.798,7181266.344,42512573.000
7,gfp:Background,158.955,9.812,1559.648,9233.000
8,gfp:CntlArea,5610.711,274.768,1541646.358,9126434.000
9,gfp:ExptArea,3085.004,675.957,2085328.900,12344995.000
