 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,78.717,29.547,2325.873,13769
2,smpd3_intron:CntlArea,2995.138,539.562,1616061.295,9566965
3,smpd3_intron:ExptArea,1798.502,386.245,694661.937,4112348
4,tfap2b:Background,78.717,120.657,9497.752,56226
5,tfap2b:CntlArea,2995.138,1177.132,3525674.517,20871736
6,tfap2b:ExptArea,1798.502,926.212,1665794.340,9861381
7,gfp:Background,78.717,9.646,759.300,4495
8,gfp:CntlArea,2995.138,316.877,949090.578,5618547
9,gfp:ExptArea,1798.502,457.896,823526.700,4875218
