 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,75.846,26.243,1990.396,11783.000
2,smpd3_intron:CntlArea,2768.953,275.404,762580.172,4514419.000
3,smpd3_intron:ExptArea,3703.931,231.563,857693.337,5077482.000
4,tfap2b:Background,75.846,37.085,2812.704,16651.000
5,tfap2b:CntlArea,2768.953,372.183,1030558.136,6100829.000
6,tfap2b:ExptArea,3703.931,309.076,1144797.212,6777116.000
7,gfp:Background,75.846,10.062,763.185,4518.000
8,gfp:CntlArea,2768.953,136.742,378632.874,2241479.000
9,gfp:ExptArea,3703.931,131.583,487376.106,2885231.000
