 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,247.469,20.724,5128.442,30360.000
2,smpd3_intron:CntlArea,4689.585,117.295,550066.912,3256356.000
3,smpd3_intron:ExptArea,1971.815,142.175,280343.656,1659614.000
4,tfap2b:Background,247.469,134.319,33239.937,196778.000
5,tfap2b:CntlArea,4689.585,1051.326,4930283.713,29186920.000
6,tfap2b:ExptArea,1971.815,1056.345,2082917.046,12330717.000
7,gfp:Background,247.469,9.412,2329.083,13788.000
8,gfp:CntlArea,4689.585,171.777,805564.485,4768883.000
9,gfp:ExptArea,1971.815,142.136,280265.953,1659154.000
