 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,90.542,30.039,2719.797,16101
2,smpd3_intron:CntlArea,9319.709,160.109,1492171.424,8833546
3,smpd3_intron:ExptArea,12618.230,121.762,1536421.969,9095506
4,tfap2b:Background,90.542,40.806,3694.640,21872
5,tfap2b:CntlArea,9319.709,440.117,4101761.513,24282129
6,tfap2b:ExptArea,12618.230,328.815,4149062.096,24562145
7,gfp:Background,90.542,11.664,1056.094,6252
8,gfp:CntlArea,9319.709,169.381,1578582.455,9345093
9,gfp:ExptArea,12618.230,126.786,1599819.710,9470816
