 ,Label,Area,Mean,IntDen,RawIntDen
1,smpd3_intron:Background,159.124,24.904,3962.887,23460.000
2,smpd3_intron:CntlArea,7734.555,180.691,1397562.488,8273468.000
3,smpd3_intron:ExptArea,7209.548,195.930,1412569.768,8362310.000
4,tfap2b:Background,159.124,66.255,10542.697,62412.000
5,tfap2b:CntlArea,7734.555,512.583,3964602.897,23470160.000
6,tfap2b:ExptArea,7209.548,453.101,3266656.799,19338370.000
7,gfp:Background,159.124,10.314,1641.236,9716.000
8,gfp:CntlArea,7734.555,214.147,1656332.737,9805369.000
9,gfp:ExptArea,7209.548,170.242,1227367.317,7265925.000
