,Fluor,EmbID,Treatment,Somites,Enh3::RFP,Enh3ΔSox10::RFP,Norm Enh3::RFP,Norm Enh3ΔSox10::RFP,Norm Ratio
0,RFP,20211116_Emb10,Enh3delSox10,11ss,0.20961631157151644,0.0852040512218647,0.5649121784159842,0.22962338104679814,0.40647624501681473
1,RFP,20211116_Emb11,Enh3delSox10,9ss,0.3887538755609741,0.15728114589020006,1.047684681904536,0.42386985097904206,0.40457769241076363
2,RFP,20211116_Emb2,Enh3delSox10,11ss,0.19076656525259744,0.07782779815780799,0.514112452117126,0.20974451209941575,0.407973997197857
3,RFP,20211116_Emb3,Enh3delSox10,8ss,0.2290728349802807,0.06870692474522853,0.6173471580263216,0.18516392278397606,0.2999348427810877
4,RFP,20211116_Emb5,Enh3delSox10,9ss,0.25052012968190207,0.07584110614792418,0.6751472303593798,0.2043904129707218,0.30273457962928335
5,RFP,20211116_Emb6,Enh3delSox10,10ss,0.23632693012138628,0.05890620003856094,0.6368968135749579,0.15875114649480832,0.24925724718847966
6,RFP,20211116_Emb9,Enh3delSox10,8ss,0.30696503213225945,0.07112387682367032,0.8272652242533339,0.1916775650359711,0.23170025696290308
7,RFP,20211206_Emb1,Enh3delSox10,8ss,0.47302164771129573,0.279064370228749,1.2747848077430664,0.7520734437234943,0.5899610970850816
8,RFP,20211206_Emb4,Enh3delSox10,10ss,0.7891589094170778,0.5466219961715186,2.1267690252391676,1.4731364191664678,0.6926640371776173
9,RFP,20211206_Emb5,Enh3delSox10,7ss,0.6363977396463076,0.45372019801449465,1.715080428366127,1.2227677489890945,0.7129506749452942
